               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.035422,            0.018228,            0.025894,             0.68186,             0.50451,             0.54076,             0.32297,            0.026394,           0.0090558,            0.019427,           0.0063568,           0.0063568,           0.0063568
                  94,            0.035837,            0.017469,            0.027455,             0.77737,               0.431,             0.58259,             0.33524,            0.025396,           0.0086176,            0.017068,           0.0063172,           0.0063172,           0.0063172
                  95,            0.034615,            0.017561,            0.026516,              0.5316,              0.6971,             0.60891,              0.3378,            0.025283,           0.0082449,            0.017516,           0.0062776,           0.0062776,           0.0062776
                  96,            0.035743,            0.017627,            0.027974,             0.61605,             0.61749,             0.60383,              0.3504,            0.024639,           0.0088854,            0.017636,            0.006238,            0.006238,            0.006238
                  97,            0.034616,            0.017474,            0.025352,             0.70359,             0.56574,             0.64355,             0.34532,            0.027693,           0.0083932,            0.016666,           0.0061984,           0.0061984,           0.0061984
                  98,            0.034479,            0.017619,            0.026396,             0.70547,             0.50992,             0.57356,              0.3297,            0.024569,           0.0089588,            0.020425,           0.0061588,           0.0061588,           0.0061588
                  99,            0.035566,            0.017787,            0.026423,             0.56369,             0.48755,             0.52322,             0.26221,            0.027705,           0.0085596,            0.017976,           0.0061192,           0.0061192,           0.0061192
                 100,            0.034092,            0.018159,            0.025806,              0.6447,             0.37983,             0.52594,             0.26265,            0.026531,             0.00904,            0.017293,           0.0060796,           0.0060796,           0.0060796
                 101,            0.034839,            0.017716,            0.024674,              0.8266,             0.66771,             0.71834,             0.41445,            0.024804,           0.0081752,            0.014035,             0.00604,             0.00604,             0.00604
                 102,            0.034527,            0.017066,            0.027147,             0.66924,             0.63069,             0.66253,             0.39148,            0.024145,           0.0078656,            0.016652,           0.0060004,           0.0060004,           0.0060004
                 103,            0.034399,            0.017111,            0.025084,             0.60225,             0.51769,             0.57051,             0.34285,            0.028467,           0.0080079,            0.017285,           0.0059608,           0.0059608,           0.0059608
                 104,            0.034221,            0.016854,             0.02494,              0.6856,             0.60229,              0.6594,             0.33076,            0.027619,           0.0078059,              0.0151,           0.0059212,           0.0059212,           0.0059212
                 105,            0.033701,            0.016342,            0.023441,              0.6906,             0.65828,             0.68585,              0.4016,            0.024705,           0.0079355,            0.016725,           0.0058816,           0.0058816,           0.0058816
                 106,            0.033043,            0.017513,            0.023549,             0.61594,             0.45315,             0.57386,             0.31533,            0.025978,           0.0090096,            0.017937,            0.005842,            0.005842,            0.005842
                 107,            0.033784,            0.016223,            0.026292,              0.7444,             0.63496,             0.69628,             0.40376,            0.024682,           0.0078395,            0.016193,           0.0058024,           0.0058024,           0.0058024
                 108,            0.034528,             0.01663,            0.023688,              0.6395,              0.4548,             0.57771,             0.29746,            0.026621,           0.0088935,            0.019315,           0.0057628,           0.0057628,           0.0057628
                 109,             0.03387,            0.016641,            0.024348,             0.49987,             0.53178,             0.49401,             0.26678,            0.027265,           0.0091928,            0.021906,           0.0057232,           0.0057232,           0.0057232
                 110,             0.03344,             0.01712,            0.024231,             0.66371,             0.52621,             0.60322,             0.34251,            0.026886,           0.0074932,            0.018999,           0.0056836,           0.0056836,           0.0056836
                 111,             0.03381,            0.016961,            0.023555,             0.74257,             0.61458,             0.66602,             0.38044,             0.02503,           0.0074105,            0.019629,            0.005644,            0.005644,            0.005644
                 112,            0.033228,            0.016261,            0.023309,              0.7871,             0.48931,             0.66151,             0.37242,            0.027475,           0.0078654,            0.014272,           0.0056044,           0.0056044,           0.0056044
                 113,            0.033755,            0.016435,            0.023914,             0.58836,             0.62378,             0.62025,              0.3536,            0.025046,            0.007661,            0.015285,           0.0055648,           0.0055648,           0.0055648
                 114,            0.033563,            0.016466,            0.022876,             0.60183,             0.52637,             0.54904,             0.29371,            0.027628,           0.0086723,            0.017789,           0.0055252,           0.0055252,           0.0055252
                 115,            0.032004,            0.016158,            0.023409,             0.79713,             0.60851,             0.72829,             0.41327,            0.023621,           0.0082403,            0.017335,           0.0054856,           0.0054856,           0.0054856
