                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.17776,                0.45981,                0.92582,                0.83076,                0.83406,                 0.8793,                0.87004,                0.21647,                0.61015,                0.58462,               0.004456,               0.004456,               0.004456
                     58,                0.16534,                 0.4255,                0.91313,                0.80727,                0.82212,                0.88467,                0.87027,                0.20845,                0.66817,                0.58106,               0.004357,               0.004357,               0.004357
                     59,                0.16687,                0.44996,                0.91426,                0.79079,                0.87432,                 0.9009,                0.89498,                0.20195,                0.59833,                0.58639,               0.004258,               0.004258,               0.004258
                     60,                0.16103,                 0.4229,                0.90177,                0.75863,                0.84284,                0.87154,                0.86866,                0.18378,                0.70102,                0.57338,               0.004159,               0.004159,               0.004159
                     61,                0.15895,                 0.3999,                0.91359,                0.82512,                0.89357,                0.91277,                0.90271,                0.19012,                0.53527,                0.59344,                0.00406,                0.00406,                0.00406
                     62,                0.16115,                0.39359,                0.90549,                0.82411,                0.89602,                0.92653,                0.92389,                0.18095,                0.52492,                0.56834,               0.003961,               0.003961,               0.003961
                     63,                0.15773,                 0.4052,                0.91086,                 0.7978,                0.89694,                0.89939,                0.89866,                0.18115,                0.60568,                0.55835,               0.003862,               0.003862,               0.003862
                     64,                0.15222,                0.40018,                0.90848,                0.76306,                0.89713,                0.88649,                0.87999,                0.18959,                0.65978,                0.56485,               0.003763,               0.003763,               0.003763
                     65,                  0.157,                0.38651,                0.90638,                0.81399,                0.87902,                0.88672,                  0.877,                0.20423,                0.54655,                  0.601,               0.003664,               0.003664,               0.003664
                     66,                0.15535,                0.38012,                0.90398,                0.75445,                0.89389,                0.88163,                0.87769,                0.18539,                0.62788,                0.57172,               0.003565,               0.003565,               0.003565
                     67,                 0.1448,                0.39851,                0.89648,                0.81151,                 0.8453,                0.89838,                0.87828,                 0.1945,                0.65725,                0.58891,               0.003466,               0.003466,               0.003466
                     68,                0.14608,                0.40028,                 0.8993,                0.83043,                0.86288,                0.89477,                0.88184,                0.18941,                0.58948,                0.57801,               0.003367,               0.003367,               0.003367
                     69,                0.14392,                0.38636,                0.90189,                0.83679,                0.87894,                0.92475,                0.91574,                  0.175,                0.51917,                0.56662,               0.003268,               0.003268,               0.003268
                     70,                0.13739,                0.36731,                0.89067,                0.76079,                0.84542,                0.87153,                0.85682,                0.18668,                0.67516,                0.57779,               0.003169,               0.003169,               0.003169
                     71,                0.13763,                0.39489,                0.89787,                 0.8339,                0.82065,                0.91131,                0.89584,                0.18619,                0.55248,                0.58019,                0.00307,                0.00307,                0.00307
                     72,                0.19641,                0.44373,                0.96786,                0.84165,                0.85667,                0.90071,                0.87976,                0.22054,                0.52711,                  0.615,               0.002971,               0.002971,               0.002971
                     73,                0.13327,                0.40383,                0.89658,                 0.8213,                0.86508,                0.89672,                0.88439,                0.18447,                0.56725,                0.55858,               0.002872,               0.002872,               0.002872
                     74,                0.14301,                0.42311,                0.90044,                 0.8068,                 0.8328,                0.88316,                0.86815,                0.20711,                0.62211,                0.59108,               0.002773,               0.002773,               0.002773
                     75,                0.14218,                0.40768,                0.89994,                0.84147,                0.83801,                 0.8777,                  0.863,                 0.1782,                0.54955,                0.56255,               0.002674,               0.002674,               0.002674
                     76,                0.12981,                0.34225,                 0.8917,                0.82069,                0.84148,                0.89049,                0.88785,                0.17599,                0.60199,                0.56392,               0.002575,               0.002575,               0.002575
                     77,                0.13446,                0.34602,                0.89886,                 0.7888,                0.83107,                0.87435,                0.86237,                0.17786,                0.62464,                0.55778,               0.002476,               0.002476,               0.002476
                     78,                0.13796,                 0.4367,                0.90079,                0.85357,                0.84632,                0.88306,                0.88138,                 0.1566,                 0.5521,                0.52985,               0.002377,               0.002377,               0.002377
                     79,                 0.1305,                0.36023,                0.89529,                0.82389,                0.84677,                0.87469,                0.86064,                0.16692,                0.58645,                0.55584,               0.002278,               0.002278,               0.002278
                     80,                0.12549,                 0.3247,                0.88898,                 0.8181,                0.85793,                0.87407,                0.86292,                0.17074,                0.61349,                0.55434,               0.002179,               0.002179,               0.002179
