                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.67149,                0.52391,                 1.3079,                 0.8948,                0.97602,                0.95919,                0.74636,                0.81588,                0.57451,                 1.6296,              0.0059315,              0.0059315,              0.0059315
                     62,                0.60373,                0.48099,                 1.2495,                 0.9285,                      1,                0.99133,                0.79447,                 0.7818,                 0.5348,                 1.6107,              0.0058637,              0.0058637,              0.0058637
                     63,                0.63215,                0.50232,                 1.2755,                0.97243,                      1,                  0.995,                0.79345,                0.81804,                0.44301,                 1.6814,              0.0057959,              0.0057959,              0.0057959
                     64,                0.60524,                0.45854,                 1.2095,                0.96853,                0.97031,                0.97761,                0.79484,                0.77323,                0.45858,                 1.5467,              0.0057281,              0.0057281,              0.0057281
                     65,                0.61209,                0.51008,                 1.2675,                0.96544,                0.96971,                0.99352,                0.75123,                0.88328,                0.47789,                 1.6137,              0.0056603,              0.0056603,              0.0056603
                     66,                 0.6031,                0.44991,                 1.2663,                0.91955,                0.99883,                0.98697,                0.78121,                0.80892,                0.51439,                 1.5121,              0.0055925,              0.0055925,              0.0055925
                     67,                0.60582,                0.46018,                 1.2444,                0.98887,                      1,                  0.995,                0.80987,                0.75691,                 0.4654,                 1.5074,              0.0055247,              0.0055247,              0.0055247
                     68,                0.58343,                0.45022,                 1.2488,                0.98552,                0.98413,                0.99384,                0.82846,                0.70204,                0.45095,                 1.4746,              0.0054568,              0.0054568,              0.0054568
                     69,                0.58076,                0.44452,                 1.2355,                0.98317,                0.98122,                  0.995,                0.78417,                0.80447,                 0.4609,                 1.5222,               0.005389,               0.005389,               0.005389
                     70,                0.55738,                0.41976,                 1.1979,                0.96237,                0.96296,                0.97678,                0.78533,                0.80487,                0.45921,                 1.5311,              0.0053212,              0.0053212,              0.0053212
                     71,                0.58177,                0.44247,                 1.2095,                0.97172,                0.92684,                0.97017,                0.77232,                0.76586,                0.49078,                 1.5279,              0.0052534,              0.0052534,              0.0052534
                     72,                0.60267,                0.46603,                 1.2626,                0.94643,                0.98711,                0.99146,                0.80856,                0.73307,                 0.4385,                 1.4647,              0.0051856,              0.0051856,              0.0051856
                     73,                0.58158,                0.44755,                 1.2284,                0.94794,                0.98218,                0.99032,                0.81855,                0.73939,                0.45807,                 1.4873,              0.0051178,              0.0051178,              0.0051178
                     74,                0.57446,                0.47793,                 1.1898,                0.91508,                0.94786,                0.98389,                0.80807,                0.77993,                0.46584,                 1.5121,                0.00505,                0.00505,                0.00505
                     75,                0.56308,                0.42895,                 1.2199,                0.94785,                0.95238,                 0.9846,                0.80186,                0.77416,                0.46877,                 1.4981,              0.0049822,              0.0049822,              0.0049822
                     76,                0.56906,                0.45552,                 1.2073,                0.94427,                0.98148,                0.97961,                0.79482,                0.78007,                0.47257,                 1.5567,              0.0049144,              0.0049144,              0.0049144
                     77,                0.56498,                0.43752,                 1.2286,                0.93641,                0.97677,                0.97642,                0.79363,                0.77799,                0.49851,                 1.5424,              0.0048466,              0.0048466,              0.0048466
                     78,                0.55445,                 0.4361,                 1.1717,                0.96384,                0.96532,                 0.9761,                0.78207,                0.75643,                0.49711,                 1.4969,              0.0047788,              0.0047788,              0.0047788
                     79,                0.54289,                0.43465,                 1.1949,                0.93319,                0.92514,                0.95952,                  0.772,                  0.825,                0.51707,                 1.5323,               0.004711,               0.004711,               0.004711
                     80,                0.55797,                0.44537,                 1.2262,                0.96126,                0.96369,                0.98689,                0.78204,                0.78261,                0.48618,                 1.5016,              0.0046432,              0.0046432,              0.0046432
                     81,                0.53223,                0.41122,                 1.1872,                0.97625,                0.96896,                0.99296,                0.79818,                 0.7291,                0.43397,                 1.4214,              0.0045753,              0.0045753,              0.0045753
                     82,                0.55931,                0.41466,                 1.2004,                0.98682,                0.95052,                0.98118,                 0.8139,                0.76192,                0.47418,                 1.4724,              0.0045075,              0.0045075,              0.0045075
                     83,                0.54361,                0.45443,                 1.2204,                0.92664,                0.98413,                0.97974,                0.82308,                0.76683,                0.43014,                 1.4448,              0.0044397,              0.0044397,              0.0044397
                     84,                0.57453,                0.45315,                 1.2131,                0.94577,                 0.9133,                0.94232,                0.77529,                0.79312,                0.52398,                 1.5014,              0.0043719,              0.0043719,              0.0043719
                     85,                0.55624,                0.41502,                  1.206,                0.59751,                 0.3545,                0.37227,                0.21649,                 2.4561,                 1.6081,                 3.5849,              0.0043041,              0.0043041,              0.0043041
                     86,                0.60268,                0.47447,                  1.254,                0.91686,                0.93993,                0.95973,                0.77709,                0.75605,                0.50493,                 1.5145,              0.0042363,              0.0042363,              0.0042363
                     87,                 0.5587,                0.42797,                 1.1899,                0.89165,                0.96619,                0.97684,                  0.806,                0.70493,                 0.4783,                 1.4726,              0.0041685,              0.0041685,              0.0041685
                     88,                0.54575,                0.40755,                 1.2137,                0.91877,                0.99181,                0.98656,                 0.8174,                 0.6988,                0.45712,                 1.4684,              0.0041007,              0.0041007,              0.0041007
                     89,                0.53227,                 0.4015,                 1.1911,                0.90679,                0.94766,                 0.9652,                0.75757,                0.76581,                0.47431,                 1.5545,              0.0040329,              0.0040329,              0.0040329
                     90,                0.52995,                0.42039,                 1.1749,                0.87957,                0.93122,                 0.9508,                  0.758,                0.78606,                0.51138,                 1.5797,              0.0039651,              0.0039651,              0.0039651
                     91,                0.48971,                0.39403,                 1.1498,                 0.6229,                0.79836,                0.71422,                0.46373,                 1.1327,                0.94579,                 1.7935,              0.0038973,              0.0038973,              0.0038973
                     92,                0.50573,                0.40432,                 1.1584,                0.87933,                0.96296,                0.97109,                0.81069,                0.75384,                0.43067,                 1.5123,              0.0038295,              0.0038295,              0.0038295
                     93,                0.50972,                0.39133,                 1.1704,                0.95022,                0.97178,                0.99197,                0.83019,                 0.6816,                0.37859,                 1.4025,              0.0037616,              0.0037616,              0.0037616
                     94,                0.49306,                0.37034,                 1.1503,                0.97829,                0.97823,                  0.995,                0.83526,                0.68418,                0.38385,                 1.3964,              0.0036938,              0.0036938,              0.0036938
                     95,                0.49718,                 0.4222,                 1.1814,                0.96871,                0.97627,                0.99191,                0.82407,                0.72091,                0.40445,                 1.4308,               0.003626,               0.003626,               0.003626
                     96,                0.47693,                0.39265,                 1.1548,                0.83741,                  0.951,                0.91489,                0.69864,                0.82395,                0.65803,                 1.5281,              0.0035582,              0.0035582,              0.0035582
                     97,                0.50707,                0.41617,                   1.18,                0.95325,                 0.9818,                0.98815,                0.81521,                0.71377,                0.44606,                  1.415,              0.0034904,              0.0034904,              0.0034904
                     98,                0.50215,                0.40601,                 1.1852,                 0.9491,                0.98413,                0.98789,                0.81968,                0.69958,                0.44947,                 1.4003,              0.0034226,              0.0034226,              0.0034226
                     99,                0.50265,                0.37785,                 1.1831,                0.94966,                0.96825,                 0.9813,                 0.8027,                 0.7227,                0.47728,                 1.4417,              0.0033548,              0.0033548,              0.0033548
                    100,                0.51158,                0.38371,                 1.1581,                0.94686,                0.96626,                0.98666,                0.79582,                0.72545,                0.50703,                 1.4196,               0.003287,               0.003287,               0.003287
                    101,                0.48312,                0.38016,                 1.1423,                0.94622,                0.98413,                0.98556,                0.79407,                0.74675,                0.48721,                  1.429,              0.0032192,              0.0032192,              0.0032192
                    102,                0.49179,                0.39175,                 1.1708,                0.92855,                0.98381,                0.98855,                0.81094,                0.72069,                 0.4418,                 1.4428,              0.0031514,              0.0031514,              0.0031514
                    103,                 0.4605,                0.38016,                 1.1301,                0.94858,                0.92666,                0.97683,                0.80268,                0.76328,                 0.5057,                 1.4759,              0.0030836,              0.0030836,              0.0030836
                    104,                 0.4443,                0.38614,                  1.139,                 0.9625,                0.95347,                0.99032,                0.81789,                0.73482,                0.42614,                 1.4528,              0.0030158,              0.0030158,              0.0030158
                    105,                0.46241,                0.35471,                 1.1424,                0.97455,                0.95191,                0.99156,                0.82633,                0.72815,                0.43779,                 1.4327,              0.0029479,              0.0029479,              0.0029479
                    106,                0.43917,                0.35459,                  1.102,                0.93152,                0.98413,                0.99011,                0.82638,                0.72898,                0.43867,                 1.4769,              0.0028801,              0.0028801,              0.0028801
